customer id,age,gender
1000,53,Male
1002,41,Male
1003,75,Male
1004,41,Female
1005,25,Female
1006,24,Male
1007,35,Male
1008,66,Female
1011,72,Male
1013,42,Female
1014,73,Female
1015,22,Male
1016,61,Male
1018,34,Male
1019,45,Male
1020,57,Female
1021,71,Female
1022,76,Female
1024,49,Female
1025,77,Male
1027,22,Male
1028,79,Female
1030,69,Male
1031,20,Female
1033,54,Female
1035,32,Female
1036,60,Male
1038,56,Female
1039,53,Female
1040,45,Female
1042,65,Female
1043,76,Male
1047,73,Male
1048,67,Female
1049,50,Female
1052,72,Male
1053,79,Female
1054,30,Female
1056,24,Female
1057,71,Female
1058,21,Female
1059,37,Male
1060,72,Male
1061,56,Male
1062,62,Male
1063,64,Male
1066,44,Female
1067,49,Male
1069,27,Male
1070,30,Male
1071,54,Female
1073,46,Female
1074,58,Male
1077,26,Male
1079,64,Male
1080,55,Female
1083,24,Male
1085,74,Male
1086,76,Male
1089,45,Male
1090,31,Male
1091,22,Male
1093,56,Female
1094,65,Male
1096,20,Female
1097,19,Male
1099,68,Female
1100,63,Female
1101,33,Female
1102,55,Male
1105,42,Female
1109,37,Female
1110,76,Male
1112,58,Female
1114,25,Female
1115,31,Female
1116,55,Female
1117,34,Female
1119,24,Male
1120,40,Female
1122,69,Male
1123,79,Male
1124,24,Female
1125,46,Male
1127,80,Male
1129,36,Female
1130,75,Female
1132,18,Female
1133,25,Male
1134,23,Male
1136,20,Female
1139,56,Female
1141,61,Male
1142,63,Female
1143,27,Female
1144,42,Male
1145,75,Female
1147,24,Male
1148,77,Female
1149,60,Male
1150,21,Male
1151,19,Female
1152,45,Female
1154,70,Female
1155,29,Male
1160,22,Female
1162,20,Male
1167,66,Female
1168,54,Female
1169,57,Female
1170,54,Male
1171,50,Male
1174,29,Male
1175,62,Male
1177,49,Female
1178,19,Female
1180,41,Female
1181,50,Male
1182,78,Male
1183,80,Male
1184,71,Female
1185,49,Male
1186,18,Male
1187,55,Female
1188,52,Male
1189,31,Male
1190,63,Female
1192,60,Male
1193,19,Female
1194,61,Male
1195,32,Female
1196,77,Male
1197,77,Female
1199,60,Female
1203,43,Male
1205,74,Male
1208,62,Male
1210,24,Female
1211,24,Male
1212,79,Female
1215,47,Male
1216,35,Female
1217,43,Female
1218,48,Female
1220,72,Male
1222,32,Male
1223,53,Male
1224,63,Female
1226,40,Female
1227,23,Female
1228,35,Female
1229,67,Male
1232,22,Male
1234,58,Male
1235,38,Female
1236,55,Male
1237,72,Male
1244,70,Male
1245,39,Female
1246,61,Male
1247,47,Male
1248,66,Male
1250,32,Female
1251,52,Female
1252,29,Female
1253,58,Female
1254,47,Female
1255,49,Male
1256,31,Female
1257,55,Male
1258,65,Male
1261,76,Male
1262,44,Male
1263,20,Male
1264,76,Female
1265,29,Female
1266,23,Male
1267,47,Male
1268,54,Male
1269,72,Male
1271,36,Female
1272,27,Female
1276,30,Male
1277,20,Female
1278,57,Male
1280,72,Male
1283,36,Male
1286,73,Male
1287,52,Female
1288,32,Female
1290,54,Male
1292,56,Male
1293,49,Male
1294,56,Male
1295,19,Male
1296,60,Female
1298,34,Male
1299,59,Male
1300,68,Male
1301,71,Female
1302,46,Male
1303,34,Male
1304,23,Female
1305,24,Male
1306,33,Female
1307,50,Female
1308,30,Female
1309,40,Male
1310,77,Male
1311,23,Female
1312,53,Female
1313,51,Male
1314,30,Male
1315,48,Male
1316,52,Male
1317,23,Male
1318,20,Male
1320,60,Male
1321,28,Male
1324,34,Female
1326,25,Male
1327,80,Male
1328,29,Female
1329,65,Female
1331,25,Male
1333,61,Male
1335,34,Male
1337,41,Male
1340,49,Male
1341,53,Male
1342,36,Female
1344,67,Male
1347,72,Female
1348,20,Male
1349,53,Female
1350,77,Male
1351,34,Male
1352,19,Male
1353,60,Male
1354,21,Male
1355,30,Male
1356,24,Male
1357,30,Female
1358,71,Female
1359,42,Female
1362,61,Male
1363,68,Female
1364,29,Female
1365,54,Female
1368,71,Female
1369,21,Male
1372,36,Female
1374,44,Female
1375,45,Female
1378,69,Male
1379,69,Male
1381,34,Female
1382,62,Male
1383,73,Female
1385,27,Male
1387,68,Male
1388,34,Male
1389,22,Male
1390,77,Female
